,iv_30,iv_rank,iv_percentile,test_iv_rank,test_iv_percentile
2019-01-05,0.4033288714285714,0.7602486820250108,0.9641434262948207,76.02486820250108,96.42857142857143
2019-01-08,0.3413325714285714,0.5940866764233323,0.8764940239043824,59.408667642333235,87.6984126984127
2019-01-09,0.4053031714285714,0.7655401856737672,0.9641434262948207,76.55401856737673,96.42857142857143
2019-01-10,0.3356759,0.5789257092430145,0.8605577689243027,57.89257092430147,86.11111111111111
2019-01-11,0.3325976714285714,0.5706754647424723,0.8565737051792828,57.06754647424723,85.71428571428571
2019-01-12,0.3398087,0.590002407961335,0.8645418326693227,59.00024079613352,86.5079365079365
2019-01-15,0.3296392428571428,0.562746307278916,0.848605577689243,56.2746307278916,84.92063492063492
2019-01-16,0.3535012571428571,0.6267010941195853,0.8928571428571428,62.67010941195852,89.28571428571429
2019-01-17,0.3306122,0.5653540195169305,0.8452380952380952,56.535401951693075,84.52380952380952
2019-01-18,0.3346532142857142,0.5761847148709971,0.8492063492063492,57.61847148709971,84.92063492063492
2019-01-19,0.2940956428571428,0.4674826244090702,0.7579365079365079,46.74826244090702,75.79365079365078
2019-01-23,0.2845410428571428,0.4418744591036923,0.7091633466135459,44.18744591036924,71.03174603174604
2019-01-24,0.3095117,0.5088006219883972,0.7928286852589641,50.880062198839724,79.36507936507937
2019-01-25,0.3287171142857142,0.5602748253864291,0.8286852589641434,56.0274825386429,82.93650793650794
2019-01-26,0.3125058285714285,0.5168254623168983,0.8047808764940239,51.68254623168983,80.55555555555556
2019-01-29,0.2870498428571428,0.448598525534326,0.7131474103585657,44.859852553432596,71.42857142857143
2019-01-30,0.3180328,0.5316388085565062,0.8127490039840637,53.16388085565064,81.34920634920636
2019-01-31,0.3599641,0.6440227557515107,0.904382470119522,64.4022755751511,90.47619047619048
2019-02-01,0.2263559428571428,0.2859272023781422,0.5059760956175298,28.592720237814223,50.39682539682539
2019-02-02,0.2361797857142857,0.3122569903148188,0.545816733067729,31.225699031481884,54.36507936507936
